"ID","Country","Latitude","Longitude","Page","Battle","Year","Participants","War","Winner","Loser","Participant 1","Participant 2","Lehmann Zhukov Scale","Theatre","Polygon","Massacre","Alternative Sources Consulted","Infered Scale","Minor"
"Aboukir1799","EGYPT",31.3114241,30.0603342,"3","ABOUKIR","1799","['French', 'British', 'Turkish', 'Egypt', 'French', 'Turkish']","FRENCH REVOLUTIONARY WARS","FRANCE","OTTOMAN EMPIRE","FRANCE","OTTOMAN EMPIRE",2,"LAND",NA,"NO","THE FIELD AND THE FORGE, LANDERS, P390",NA,NA
"Aboukir1801","EGYPT",31.3114241,30.0603342,"3","ABOUKIR","1801","['French', 'British', 'Aboukir', 'French', 'Alexandria']","FRENCH REVOLUTIONARY WARS","UNITED KINGDOM, OTTOMAN EMPIRE","FRANCE","UNITED KINGDOM, OTTOMAN EMPIRE","FRANCE",2,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, 2014, P510",NA,NA
"Abrittus251","BULGARIA",43.5237175,26.5404685,"3","ABRITTUS","251","['Philippopolis']","['GOTHIC WAR']","GOTHS, SCYTHIANS","ROME","GOTHS, SCYTHIANS","ROME",NA,"LAND",NA,"NO",NA,NA,NA
"Abu Ageila1956","EGYPT",30.83783,34.1133,"4","ABU AGEILA","1956","['Arab', 'Israels', 'Egypt', 'Sinai', 'Egyptians', 'Israels']","['SINAI WAR']","ISRAEL","EGYPT","ISRAEL","EGYPT",1,"LAND",NA,"NO",NA,NA,NA
"Abu Ageila1967","EGYPT",30.83783,34.1133,"4","ABU AGEILA","1967","['Arab', 'Israels', 'Egyptian', 'Egyptians']","SIX DAY WAR","ISRAEL","EGYPT","ISRAEL","EGYPT",4,"LAND","ABA1967","NO","HTTPS://WWW.ARMYUPRESS.ARMY.MIL/PORTALS/7/COMBAT-STUDIES-INSTITUTE/CSI-BOOKS/KEY-TO-THE-SINAI.PDF; SHAPEFILE TAKEN FROM PAGE 10",NA,NA
"Abu Hamed1897","SUDAN",19.5253379,33.2798188,"4","ABU HAMED","1897","['British', 'British', 'Sudan', 'British', 'Sudanese']","BRITISH-SUDAN WARS","UNITED KINGDOM","SUDANESE MAHDISTS","UNITED KINGDOM","THE MAHDIYYA",1,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P203",NA,NA
"Abu Klea1885","SUDAN",16.9833533,33.2912452,"4","ABU KLEA","1885","['British', 'British']","BRITISH-SUDAN WARS","UNITED KINGDOM","SUDANESE MAHDISTS","UNITED KINGDOM","THE MAHDIYYA",2,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, LONDON, 2014, P709",NA,NA
"Abu Kru1885","SUDAN",16.6399301,33.0806383,"4","ABU KRU","1885","['British', 'Dongola', 'British', 'Mahdists', 'British', 'Cairo']","BRITISH-SUDAN WARS","UNITED KINGDOM","SUDANESE MAHDISTS","UNITED KINGDOM","THE MAHDIYYA",NA,"LAND",NA,"NO","FOR LOCATION, SPIERS, THE VICTORIAN SOLDIER IN AFRICA",NA,NA
"Abu Tellul1918","ISRAEL",31.9231824,35.3566345,"4","ABU TELLUL","1918","['Jericho', 'Turkish', 'German', 'Australian', 'Germans']","['WORLD WAR']","AUSTRALIA","GERMANY, OTTOMAN EMPIRE","AUSTRALIA","GERMANY, OTTOMAN EMPIRE",NA,"LAND",NA,"NO",NA,NA,NA
"Abydos-200","EGYPT",26.1837366,31.9227288,"4","ABYDOS","-200","['Macedon', 'Abydos', 'Asian', 'Rhodian']","['MACEDONIAN WAR']","MACEDONIA","ABYDOS, PERGAMUM, RHODES","MACEDONIA","ABYDOS, PERGAMUM, RHODES",NA,"LAND",NA,"NO",NA,NA,NA
"Abydos989","EGYPT",26.1837366,31.9227288,"4","ABYDOS","989","['Byzantine']","BYZANTINE MILITARY REBELLIONS","EMPEROR BASIL II","BARDAS PHOCAS","EMPEROR BASIL II","BARDAS PHOCAS",NA,"LAND",NA,"NO",NA,NA,NA
"Acajete1839","MEXICO",19.1061301,-97.9522432,"5","ACAJETE","1839","['Mexican', 'Mexican', 'Jalapa', 'Tampico']","MEXICAN FEDERALIST WARS","MEXICO","MEXICAN REBELS","MEXICO","MEXICAN REBELS",1,"LAND",NA,"NO",NA,NA,NA
"Acambaro1858","MEXICO",20.025105,-100.718241,"5","ACAMBARO","1858","['Mexico', 'Conservative', 'Acambaro']","['MEXICAN WAR']","DRAW",NA,"MEXICAN LIBERALS","MEXICAN CONSERVATIVES",1,"LAND",NA,"NO",NA,NA,NA
"Acapulco1855","MEXICO",16.8531086,-99.8236533,"5","ACAPULCO","1855","['Mexican', 'Acapulco', 'Mexico', 'Santa Anna', 'Mexican']","MEXICAN LIBERAL REBELLION","MEXICAN LIBERALS","MEXICAN CONSERVATIVES","MEXICAN LIBERALS","MEXICAN CONSERVATIVES",NA,"LAND",NA,"NO",NA,NA,NA
"Accra1824","GHANA",5.554828,-0.200086,"HARBOTTLES, P10","ACCRA","1824",NA,"FIRST BRITISH-ASHANTI WAR","ASHANTI KINGDOM","UNITED KINGDOM",NA,NA,2,"LAND",NA,"NO","HARBOTTLE'S DICTIONARY OF BATTLES, GEORGE BRUCE, 1979, P10",NA,NA
"Accra1825","GHANA",5.554828,-0.200086,"HARBOTTLES, P10","ACCRA","1825",NA,"FIRST BRITISH-ASHANTI WAR","UNITED KINGDOM","ASHANTI KINGDOM",NA,NA,2,"LAND",NA,"NO","HARBOTTLE'S DICTIONARY OF BATTLES, GEORGE BRUCE, 1979, P10",NA,NA
"Acerrae-90","ITALY",40.9441091,14.371438,"5","ACERRAE","-90","['Rome']","ROMAN SOCIAL WAR","ROME","SAMNITES","ROME","SAMNITES",NA,"LAND",NA,"NO",NA,NA,NA
"Acheribe1893","BENIN",9.30769,2.315834,"5","ACHERIBE","1893","['Abomey', 'France', 'Behanzins']","3RD FRANCO-DAHOMEAN WAR","FRANCE","DAHOMEY","FRANCE","DAHOMEY",NA,"LAND",NA,"NO",NA,NA,NA
"Ackia1736","UNITED STATES",34.2721578,-88.7379271,"5","ACKIA","1736","['Louisiana', 'Chickasaw', 'French', 'Mississippi', 'French', 'Indian', 'New Orleans']","CHICKASAW-FRENCH WAR","CHICKASAWS","FRANCE","CHICKASAWS","FRANCE",1,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P119",NA,NA
"Aclea851","UNITED KINGDOM",51.4268318,0.3545853,"5","ACLEA","851","['Britain', 'London', 'Thames']","VIKING RAIDS ON BRITAIN","WESSEX","DANISH VIKINGS","WESSEX","DANISH VIKINGS",NA,"LAND",NA,"NO",NA,NA,NA
"Acomo Pueblo1598","UNITED STATES",34.8963361,-107.5910634,"6","ACOMO PUEBLO","1598","[]","SPANISH CONQUEST OF NEW MEXICO","SPAIN","PUEBLO INDIANS","SPAIN","PUEBLO INDIANS",1,"LAND",NA,"BATTLE FOLLOWED BY MASSACRE",NA,NA,NA
"Acosta-Nu1869","PARAGUAY",-25.419142,-57.5445587,"6","ACOSTA-NU","1869","['Piribebuy', 'Brazilian']","WAR OF THE TRIPLE              ALLIANCE","BRAZIL","PARAGUAY","BRAZIL","PARAGUAY",2,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P322",NA,NA
"Acqui1799","ITALY",44.6763846,8.4670285,"6","ACQUI","1799","['French', 'French', 'Italy', 'Russian', 'French', 'Austrian', 'Russian', 'French']","FRENCH REVOLUTIONARY WARS (2ND COALITION)","AUSTRIA, RUSSIA","FRANCE","AUSTRIA, RUSSIA","FRANCE",3,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, LONDON 2014, P510 - ASSUMING NUMBERS BROADLY SIMILAR TO NOVI LIGURE THREE DAYS LATER",NA,NA
"Acragas-262","ITALY",37.3094075,13.5859823,"6","ACRAGAS","-262","['Rome', 'Acragas', 'Sicily', 'Carthaginian', 'Rome', 'Romans']","['PUNIC WAR']","ROME","CARTHAGE","ROME","CARTHAGE",3,"LAND",NA,"NO","A GLOBAL HISTORY OF PRE MODERN WARFARE, KAUSHIK ROY, 2021, P111",NA,NA
"Acragas-406","ITALY",37.3094075,13.5859823,"6","ACRAGAS","-406","['Carthaginian', 'Greek', 'Acragas', 'Spartans']","CARTHAGINIAN-SYRACUSAN WARS","CARTHAGE","SYRACUSE","CARTHAGE","SYRACUSE",NA,"LAND",NA,"NO",NA,NA,NA
"Acre1104","ISRAEL",32.933052,35.082678,"6","ACRE","1104","['Crusader-Muslim', 'Jerusalem', 'Genoese', 'Genoese', 'Bena Zahr']","CRUSADER-MUSLIM WARS","GENOA, KINGDOM OF JERUSALEM","FATIMID CALIPHATE","GENOA, KINGDOM OF JERUSALEM","FATIMID CALIPHATE",NA,"LAND",NA,"NO",NA,NA,NA
"Acre1189-1191","ISRAEL",32.933052,35.082678,"6","ACRE","1189","['Haifa', 'Kurdish-Muslim', 'England', 'Muslim']","THIRD CRUSADE","ENGLAND","AYYUBID CALIPHATE","ENGLAND","AYYUBID CALIPHATE",3,"LAND",NA,"BATTLE FOLLOWED BY MASSACRE",NA,NA,NA
"Acre1291","ISRAEL",32.933052,35.082678,"6","ACRE","1291","['Muslim', 'Christian']","LATER CRUSADER-MUSLIM WARS","MAMLUKES","KINGDOM OF JERUSALEM, KNIGHTS HOSPITALLIER, KNIGHTS TEMPLAR, TEUTONIC KNIGHTS","MAMLUKES","KINGDOM OF JERUSALEM, KNIGHTS HOSPITALLIER, KNIGHTS TEMPLAR, TEUTONIC KNIGHTS",3,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, LONDON 2014, P225",NA,NA
"Acre1799","ISRAEL",32.933052,35.082678,"7","ACRE","1799","['French', 'Egypt', 'Egypt', 'Syria', 'Haifa', 'British', 'Egypt']","FRENCH REVOLUTIONARY WARS","PASHA OF ACRE, UNITED KINGDOM","FRANCE","PASHA OF ACRE, UNITED KINGDOM","FRANCE",2,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, P508",NA,NA
"Acre1831","ISRAEL",32.933052,35.082678,"7","ACRE","1831","['Egyptian', 'War                                          ', 'Egyptian', 'Turkish', 'Syria', 'Gaza', 'Jaffa', 'Jerusalem', 'Anatolia', 'Turks']","1ST TURKO-EGYPTIAN WAR","EGYPT","TURKEY","EGYPT","TURKEY",2,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, LONDON, 2014, P594. ASSUMING IBRAHIM PASHA'S FORCE TO BE ROUGHLY SIMILAR IN SIZE TO THE FORCE AT THE SUBSEQUENT BATTLE OF KONYA, AND THE ATTACKERS TO OUTNUMBER THE DEFENDERS",NA,NA
"Acre1840","ISRAEL",32.933052,35.082678,"7","ACRE","1840","['Turko', 'Egyptian', 'Turkey', 'Nezib', 'Syria', 'Turkish', 'European', 'Beirut', 'British', 'Turkish']","2ND TURKO-EGYPTIAN WAR","UNITED KINGDOM, AUSTRIA","EGYPT","UNITED KINGDOM, AUSTRIA","EGYPT",2,"LAND AND SEA",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, LONDON 2014, P594. SOURCE STATES EIGHT SHIPS OF THE LINE INVOLVED. SHIP OF THE LINE CREW 600-800 APPROX. HTTPS://WWW.BRITANNICA.COM/TECHNOLOGY/SHIP-OF-THE-LINE",NA,NA
"Acropolis1821","GREECE",37.9715323,23.7257492,"7","ACROPOLIS","1821","[]","GREEK WAR OF INDEPENDENCE","GREEK REBELS","GREEK MUSLIMS","GREEK REBELS","GREEK MUSLIMS",1,"LAND",NA,"YES",NA,NA,NA
"Acropolis1826-1827","GREECE",37.9715323,23.7257492,"7","ACROPOLIS","1826","['Athens', 'Acropolis', 'Yannis', 'British', 'Acropolis', 'Chaidari', 'Turkey', 'Greece']","['GREEK WAR']","OTTOMAN EMPIRE","GREEK REBELS","OTTOMAN EMPIRE","GREEK REBELS",2,"LAND",NA,"BATTLE FOLLOWED BY MASSACRE","CLODFELTER, WARFARE AND ARMED CONFLICT, P191",NA,NA
"Acs1849","HUNGARY",47.7112968,18.0103464,"7","ACS","1849","['Hungarian', 'Austria', 'Hungary', 'Russia', 'Hungarian', 'Komarom', 'Budapest', 'Temesvar']","HUNGARIAN REVOLUTIONARY WAR","DRAW",NA,"HUNGARIAN REBELS","RUSSIA, AUSTRIA",3,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, LONDON 2014, P650. ASSUMING ARMY SIZES BROADLY SIMILAR TO THOSE AT TEMESVAR LATER IN THE YEAR (SAME COMMANDERS AND SIDES)",NA,NA
"Actium-31","GREECE",38.9176738,20.797808,"7","ACTIUM","-31","['Roman', 'Octavians', 'Greece', 'Preveza', 'Antonys', 'Egypt']","WARS OF THE SECOND TRIUMVIRATE","OCTAVIANS' FORCES","MARK ANTHONY'S ARMY","OCTAVIANS' FORCES","MARK ANTHONY'S ARMY",3,"SEA",NA,"NO","HTTPS://WWW.BRITANNICA.COM/EVENT/BATTLE-OF-ACTIUM-ANCIENT-ROMAN-HISTORY; WARFARE IN THE CLASSICAL WORLD, JOHN WARRY, 1980, P185","1",NA
"Aculco1810","MEXICO",20.0985989,-99.8275861,"7","ACULCO","1810","['Mexican', 'Mexico City', 'Guadalajara', 'Royalist']","MEXICAN WAR OF INDEPENDENCE","SPAIN","MEXICAN REBELS","SPAIN","MEXICAN REBELS",4,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, LONDON 2014, P560. ASSUMING HIDALGO'S FORCE TO BE APPROXIMATELY SIMILAR TO THAT FIELDED AT CALDERON BRIDGE EARLY THE FOLLOWING YEAR",NA,NA
"Acultzingo1862","MEXICO",18.7156563,-97.3077659,"8","ACULTZINGO","1862","['Mexican', 'French', 'Mexico', 'Acultzingo', 'Mexican', 'French']","MEXICAN-FRENCH WAR","FRANCE","MEXICAN LIBERALS","FRANCE","MEXICAN LIBERALS",2,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, LONDON 2014, P663. HARBOTTLE'S DICTIONARY OF BATTLES, GEORGE BRUCE, 1979, P10-11",NA,NA
"Ad Decimum533","TUNISIA",36.8592738,10.3137703,"9","AD DECIMUM","533","['North Africa', 'Romans']","VANDAL WAR IN AFRICA","BYZANTIUM","VANDAL KINGDOM IN AFRICA","BYZANTIUM","VANDAL KINGDOM IN AFRICA",4,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, LONDON 2014, P167-168. STATES THAT 10-12,000 VANDALS WERE KILLED BUT THAT THE MAJORITY OF THE ARMY 'REMAINDED INTACT', WHICH IMPLIES AN ORIGINAL STRENGTH OF OVER 20,000. ROMAN STRENGTH 8,000. HUTCHINSON DICTIONARY OF",NA,NA
"Ad Salices377","ROMANIA",45.0260948,29.1896499,"12","AD SALICES","377","['Roman', 'Trajan', 'Goths', 'Valens']","['GOTHIC WAR']","DRAW",NA,"GOTHS","ROME",NA,"LAND",NA,"NO","HTTP://WWW.PERSEUS.TUFTS.EDU/HOPPER/TEXT?DOC=PERSEUS%3ATEXT%3A1999.04.0064%3AENTRY%3DSALICES-GEO",NA,NA
"Adairsville1864","UNITED STATES",34.3687021,-84.9341093,"8","ADAIRSVILLE","1864","['Georgia', 'Atlanta', 'Chattanooga', 'Calhoun', 'Cassville', 'Dallas']","AMERICAN CIVIL WAR","UNITED STATES","CONFEDERATE STATES OF AMERICA","UNITED STATES","CONFEDERATE STATES OF AMERICA",NA,"LAND",NA,"NO",NA,NA,NA
"Adana964","TURKEY",36.9914194,35.3308285,"8","ADANA","964","['Muslim', 'Syria', 'Muslims', 'Asia Minor', 'Cilician', 'Adana', 'Turkey', 'Syria']","LATER BYZANTINE-MUSLIM WARS","BYZANTIUM","HAMDANID DYNASTY","BYZANTIUM","HAMDANID DYNASTY",3,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, AMBER BOOKS, LONDON 2014, P187. ASSUMING BYZANTINE FORCE TO BE SIMILAR IN SIZE TO ARMY ALSO COMMANDED BY THE EMPEROR WHICH INVADED CRETE THREE YEARS EARLIER",NA,NA
"Adas1775","INDIA",22.4952782,72.9436393,"8","ADAS","1775","['Poona', 'Kasegaum']","MARATHA WARS OF SUCCESSION","POONA","PESHWA RAGUNATH RAO","POONA","PESHWA RAGUNATH RAO",NA,"LAND",NA,"NO",NA,NA,NA
"Adas1775(2nd)","INDIA",22.4952782,72.9436393,"8","ADAS","1775","['British', 'Napar']","1ST BRITISH MARATHA WAR","UNITED KINGDOM","MARATHAS","UNITED KINGDOM","MARATHAS",3,"LAND",NA,"NO","HARBOTTLE'S DICTIONARY OF BATTLES, GEORGE BRUCE, 1979, P24",NA,NA
"Adasa-161","ISRAEL",31.877519,35.1230051,"8","ADASA","-161","['Jerusalem', 'Hebrew']","['MACCABEAN WAR        ']","HEBREWS","SELEUCID EMPIRE","HEBREWS","SELEUCID EMPIRE",NA,"LAND",NA,"NO",NA,NA,NA
"Adda-223","ITALY",45.8012456,9.3249373,"8","ADDA","-223","['Italy', 'Italy', 'Roman']","GALLIC WARS IN ITALY","ROME","INSUBRIAN GAULS","ROME","INSUBRIAN GAULS",NA,"LAND",NA,"NO",NA,NA,NA
"Adda490","ITALY",45.8012456,9.3249373,"8","ADDA","490","['German', 'Italy', 'Sontius', 'Verona', 'Ravenna']","GOTH INVASION OF ITALY","OSTROGOTHS","GERMAN KINGDOM OF ITALY","OSTROGOTHS","GERMAN KINGDOM OF ITALY",NA,"LAND",NA,"NO",NA,NA,NA
"Addis Ababa1936","ETHIOPIA",8.9806034,38.7577605,"9","ADDIS ABABA","1936","['Ogaden', 'Italian', 'Addis Ababa']","2ND ITALO-ETHIOPIAN WAR","ITALY","ETHIOPIA","ITALY","ETHIOPIA",3,"LAND",NA,"BATTLE FOLLOWED BY MASSACRE","CLODFELTER, WARFARE AND ARMED CONFLICT, P355","1",NA
"Addis Ababa1941","ETHIOPIA",8.9806034,38.7577605,"9","ADDIS ABABA","1941","['Addis Ababa', 'Northern Africa', 'British', 'Ethiopia', 'Kenya', 'Italian', 'Addis Ababa', 'Italians', 'Addis Ababa']","['WORLD WAR II']","UNITED KINGDOM","ITALY","UNITED KINGDOM","ITALY",3,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P441",NA,NA
"Addis Ababa1991","ETHIOPIA",8.9806034,38.7577605,"9","ADDIS ABABA","1991","['Addis Ababa', 'Ethiopian', 'Eritrea', 'Addis Ababa', 'Tigrayan']","2ND ETHIOPIAN CIVIL WAR","ETHIOPIAN REBELS","ETHIOPIA","ETHIOPIAN REBELS","ETHIOPIA",NA,"LAND",NA,"NO",NA,NA,NA
"Aden1513","YEMEN",12.7854969,45.0186548,"9","ADEN","1513","['Portuguese', 'Arabia', 'Portuguese', 'Aden', 'Portugal', 'Hormuz', 'Aden', 'Ottomans']","PORTUGUESE WARS IN AFRICA","OTTOMAN EMPIRE","PORTUGAL","OTTOMAN EMPIRE","PORTUGAL",NA,"LAND",NA,"NO",NA,NA,NA
"Aden1839","YEMEN",12.7854969,45.0186548,"9","ADEN","1839","['Anglo', 'Aden', 'Yemen', 'British', 'British', 'India', 'Aden', 'British']","ANGLO-ARAB WARS","UNITED KINGDOM","YEMEN","UNITED KINGDOM","YEMEN",1,"LAND",NA,"NO",NA,NA,NA
"Aden1986","YEMEN",12.7854969,45.0186548,"9","ADEN","1986","['Aden', 'Yemeni', 'Yemen', 'Aden']","YEMENI CIVIL WARS","DRAW",NA,"YEMEN GOVERNMENT","YEMEN REBELS",NA,"LAND",NA,"NO",NA,NA,NA
